Time,Name,IP,Status,Latency_ms
2025-11-10 12:04:51,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:04:59,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 12:05:01,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:05:03,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:05:05,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:05:07,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:05:09,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:05:11,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:05:13,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:05:15,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:05:17,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:05:25,Shakti_2.4GHz,192.168.1.1,UP,3.0
2025-11-10 12:05:27,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:05:29,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:05:31,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:05:33,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:05:35,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:05:37,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:05:39,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:05:41,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:05:43,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:05:51,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 12:05:53,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:05:55,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:05:57,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:05:59,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:06:01,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:06:03,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:06:05,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:06:07,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:06:09,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
2025-11-10 12:06:17,Shakti_2.4GHz,192.168.1.1,UP,1.0
2025-11-10 12:06:19,SHAKTI_5GHz,192.168.1.2,DOWN,
2025-11-10 12:06:21,Air_Shakti_564_5GHz,192.168.1.3,DOWN,
2025-11-10 12:06:23,Air_Shakti_564_2.4GHz,192.168.1.4,DOWN,
2025-11-10 12:06:25,Air_Shakti_501_2.4GHz,192.168.1.5,DOWN,
2025-11-10 12:06:27,Air_Shakti_501_5GHz,192.168.1.6,DOWN,
2025-11-10 12:06:29,Lawful_Connect_2.4GHz,192.168.1.7,DOWN,
2025-11-10 12:06:31,Lawfull_Conect_5GHz,192.168.1.8,DOWN,
2025-11-10 12:06:33,Airtel_Zerotouch,192.168.1.9,DOWN,
2025-11-10 12:06:35,Airtel_Zerotouch_5G,192.168.1.10,DOWN,
